DateTimeISO8601,OpType,Concurrency,NodeCount,ConcurrencyCurr,ConcurrencyMean,CountSucc,CountFail,Size,StepDuration[s],DurationSum[s],TPAvg[op/s],TPLast[op/s],BWAvg[MB/s],BWLast[MB/s],DurationAvg[us],DurationMin[us],DurationLoQ[us],DurationMed[us],DurationHiQ[us],DurationMax[us],LatencyAvg[us],LatencyMin[us],LatencyLoQ[us],LatencyMed[us],LatencyHiQ[us],LatencyMax[us]
"2018-10-03T12:29:49,902",UPDATE,1,1,0,0.0,0,0,0,0.024,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0
"2018-10-03T12:29:59,893",UPDATE,1,1,1,0.0,7917,0,8301576192,10.023,3.753485,789.8832684824903,389.80254676000123,8.282526381322957E8,4.0873759527141505E8,916.0,240,1010,641,368,23057,256.0,240,47,68,229,22794
"2018-10-03T12:30:09,894",UPDATE,1,1,1,0.0,18095,0,18973982720,20.024,4.413047,903.6656012784658,389.80254676000123,9.475620615261686E8,4.0873759527141505E8,1077.0,252,1064,696,438,33312,270.0,252,31,61,265,32944
