2018-10-03T12:29:49,740 | INFO |  | main | linear_20181003.122949.731: creating the storage driver instance for the type "s3"
2018-10-03T12:29:49,741 | INFO |  | main | storage/driver/1/amzs3/1886567481: use 4 I/O workers
2018-10-03T12:29:49,763 | DEBUG |  | main | Using the file "list2.csv" as items input
2018-10-03T12:29:49,765 | INFO |  | main | linear_20181003.122949.731: scatter the items from the input "DataItemsFromFile(list2.csv)"...
2018-10-03T12:29:49,768 | INFO |  | main | linear_20181003.122949.731: slice the item input "DataItemsFromFile(list2.csv)"...
2018-10-03T12:29:49,773 | INFO |  | main | Items input "DataItemsFromFile(list2.csv)": starting to distribute the items among the 1 load step slices
2018-10-03T12:29:49,817 | INFO |  | main | Items input "DataItemsFromFile(list2.csv)": 200 items was distributed among the 1 load step slices
2018-10-03T12:29:49,820 | DEBUG |  | main | linear_20181003.122949.731: item input file slicer initialized
2018-10-03T12:29:49,823 | DEBUG |  | main | storage/driver/1/amzs3/1886567481: closed
2018-10-03T12:29:49,823 | DEBUG |  | main | linear_20181003.122949.731: item output file aggregator initialized
2018-10-03T12:29:49,828 | INFO |  | main | linear_20181003.122949.731: creating the storage driver instance for the type "s3"
2018-10-03T12:29:49,829 | INFO |  | main | storage/driver/1/amzs3/1526305386: use 4 I/O workers
2018-10-03T12:29:49,843 | DEBUG |  | main | Using the file "/tmp/mongoose/343513246555499" as items input
2018-10-03T12:29:49,869 | DEBUG |  | main | Started the metrics manager fiber
2018-10-03T12:29:49,869 | DEBUG |  | main | Metrics context "MetricsContextImpl(UPDATE-1x1@linear_20181003.122949.731)" registered
2018-10-03T12:29:49,869 | INFO |  | main | linear_20181003.122949.731: load step client started, additional nodes: []
2018-10-03T12:29:49,869 | DEBUG |  | main | linear_20181003.122949.731: await for 1 step slices for at most 9223372036854775807 seconds...
