2017-01-27T13:22:31,852 | DEBUG | InternalLoggerFactory | main | Using java.util.logging as the default logging framework
2017-01-27T13:22:31,856 | DEBUG | MultithreadEventLoopGroup | main | -Dio.netty.eventLoopThreads: 8
2017-01-27T13:22:31,928 | DEBUG | PlatformDependent0 | main | java.nio.Buffer.address: available
2017-01-27T13:22:31,928 | DEBUG | PlatformDependent0 | main | sun.misc.Unsafe.theUnsafe: available
2017-01-27T13:22:31,929 | DEBUG | PlatformDependent0 | main | sun.misc.Unsafe.copyMemory: available
2017-01-27T13:22:31,929 | DEBUG | PlatformDependent0 | main | direct buffer constructor: available
2017-01-27T13:22:31,930 | DEBUG | PlatformDependent0 | main | java.nio.Bits.unaligned: available, true
2017-01-27T13:22:31,930 | DEBUG | PlatformDependent0 | main | java.nio.DirectByteBuffer.<init>(long, int): available
2017-01-27T13:22:31,931 | DEBUG | Cleaner0 | main | java.nio.ByteBuffer.cleaner(): available
2017-01-27T13:22:31,931 | DEBUG | PlatformDependent | main | Java version: 8
2017-01-27T13:22:31,932 | DEBUG | PlatformDependent | main | -Dio.netty.noUnsafe: false
2017-01-27T13:22:31,932 | DEBUG | PlatformDependent | main | sun.misc.Unsafe: available
2017-01-27T13:22:31,932 | DEBUG | PlatformDependent | main | -Dio.netty.noJavassist: false
2017-01-27T13:22:32,004 | DEBUG | PlatformDependent | main | Javassist: available
2017-01-27T13:22:32,004 | DEBUG | PlatformDependent | main | -Dio.netty.tmpdir: /tmp (java.io.tmpdir)
2017-01-27T13:22:32,004 | DEBUG | PlatformDependent | main | -Dio.netty.bitMode: 64 (sun.arch.data.model)
2017-01-27T13:22:32,004 | DEBUG | PlatformDependent | main | -Dio.netty.noPreferDirect: false
2017-01-27T13:22:32,004 | DEBUG | PlatformDependent | main | io.netty.maxDirectMemory: 3728736256 bytes
2017-01-27T13:22:32,020 | DEBUG | PlatformDependent | main | org.jctools-core.MpscChunkedArrayQueue: available
2017-01-27T13:22:32,028 | DEBUG | NativeLibraryLoader | main | -Dio.netty.tmpdir: /tmp (java.io.tmpdir)
2017-01-27T13:22:32,028 | DEBUG | NativeLibraryLoader | main | -Dio.netty.native.workdir: /tmp (io.netty.tmpdir)
2017-01-27T13:22:32,045 | DEBUG | NetUtil | main | -Djava.net.preferIPv4Stack: false
2017-01-27T13:22:32,045 | DEBUG | NetUtil | main | -Djava.net.preferIPv6Addresses: false
2017-01-27T13:22:32,047 | DEBUG | NetUtil | main | Loopback interface: lo (lo, 0:0:0:0:0:0:0:1%lo)
2017-01-27T13:22:32,047 | DEBUG | NetUtil | main | /proc/sys/net/core/somaxconn: 128
2017-01-27T13:22:32,066 | DEBUG | DefaultChannelId | main | -Dio.netty.processId: 27543 (auto-detected)
2017-01-27T13:22:32,067 | DEBUG | DefaultChannelId | main | -Dio.netty.machineId: 40:2c:f4:ff:fe:e9:16:17 (auto-detected)
2017-01-27T13:22:32,068 | DEBUG | ThreadLocalRandom | main | -Dio.netty.initialSeedUniquifier: 0xdd7966cbfac38652
2017-01-27T13:22:32,079 | DEBUG | ResourceLeakDetector | main | -Dio.netty.leakDetection.level: simple
2017-01-27T13:22:32,079 | DEBUG | ResourceLeakDetector | main | -Dio.netty.leakDetection.maxRecords: 4
2017-01-27T13:22:32,099 | DEBUG | PooledByteBufAllocator | main | -Dio.netty.allocator.numHeapArenas: 8
2017-01-27T13:22:32,099 | DEBUG | PooledByteBufAllocator | main | -Dio.netty.allocator.numDirectArenas: 8
2017-01-27T13:22:32,099 | DEBUG | PooledByteBufAllocator | main | -Dio.netty.allocator.pageSize: 8192
2017-01-27T13:22:32,099 | DEBUG | PooledByteBufAllocator | main | -Dio.netty.allocator.maxOrder: 11
