DateTimeISO8601,TypeLoad,Concurrency,DriverCount,CountSucc,CountFail,Size,JobDuration[s],DurationSum[s],TPAvg[op/s],TPLast[op/s],BWAvg[MB/s],BWLast[MB/s],DurationAvg[us],DurationMin[us],DurationLoQ[us],DurationMed[us],DurationHiQ[us],DurationMax[us],LatencyAvg[us],LatencyMin[us],LatencyLoQ[us],LatencyMed[us],LatencyHiQ[us],LatencyMax[us]
"2017-02-01T18:43:29,525",CREATE,3,2,0,0,0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0
"2017-02-01T18:43:39,521",CREATE,3,2,37647,0,4741714944,10.004,23.838908,3763.1947221111554,2967.4486647559042,4.739819016393443E8,3.737560942233356E8,736.624513618677,138,286,408,668,72992,736.624513618677,12,146,223,435,7800
"2017-02-01T18:43:49,521",CREATE,3,2,86808,0,10933641216,20.005,48.657562,4339.315171207199,4328.200142244355,5.46545424443889E8,5.451454643159611E8,584.9153696498055,117,216,330,512,72992,584.9153696498055,8,89,156,279,7155
"2017-02-01T18:43:59,526",CREATE,3,2,143788,0,18110386176,30.011,78.690016,4791.176568591516,5448.069436901489,6.034582711672387E8,6.861952417166164E8,452.96108949416345,113,205,294,450,14179,452.96108949416345,7,84,134,255,7155
"2017-02-01T18:44:09,526",CREATE,3,2,224450,0,28269926400,40.009,110.885052,5609.98775275563,7092.486876301588,7.065891774350771E8,8.933129070439377E8,394.62451361867704,113,192,279,420,8742,394.62451361867704,7,83,130,233,7406
