DateTimeISO8601,TypeLoad,Concurrency,DriverCount,CountSucc,CountFail,Size,JobDuration[s],DurationSum[s],TPAvg[op/s],TPLast[op/s],BWAvg[MB/s],BWLast[MB/s],DurationAvg[us],DurationMin[us],DurationLoQ[us],DurationMed[us],DurationHiQ[us],DurationMax[us],LatencyAvg[us],LatencyMin[us],LatencyLoQ[us],LatencyMed[us],LatencyHiQ[us],LatencyMax[us]
"2017-01-27T13:58:56,041",UPDATE,1,1,0,0,0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0
"2017-01-27T13:59:06,038",UPDATE,1,1,30518,45,7590322496,10.01,8.021469,3048.7512487512486,2290.409944222027,7.582739756243756E8,5.718554897263222E8,271.352140077821,106,151,207,288,20057,271.352140077821,14,48,59,77,3151
"2017-01-27T13:59:16,038",UPDATE,1,1,69913,65,17431582783,20.011,16.20801,3493.728449352856,3330.450463925982,8.711000341312279E8,8.321435625470557E8,245.10311284046693,102,146,199,274,20057,245.10311284046693,12,44,57,72,2913
"2017-01-27T13:59:26,038",UPDATE,1,1,109789,72,27412316685,30.011,24.419186,3658.291959614808,3745.797525237702,9.13408972876612E8,9.381649662524064E8,238.6079766536965,103,144,192,268,20057,238.6079766536965,12,44,57,70,790
