2017-01-27T13:28:42,289 | DEBUG | InternalLoggerFactory | main | Using java.util.logging as the default logging framework
2017-01-27T13:28:42,293 | DEBUG | MultithreadEventLoopGroup | main | -Dio.netty.eventLoopThreads: 8
2017-01-27T13:28:42,369 | DEBUG | PlatformDependent0 | main | java.nio.Buffer.address: available
2017-01-27T13:28:42,369 | DEBUG | PlatformDependent0 | main | sun.misc.Unsafe.theUnsafe: available
2017-01-27T13:28:42,370 | DEBUG | PlatformDependent0 | main | sun.misc.Unsafe.copyMemory: available
2017-01-27T13:28:42,370 | DEBUG | PlatformDependent0 | main | direct buffer constructor: available
2017-01-27T13:28:42,371 | DEBUG | PlatformDependent0 | main | java.nio.Bits.unaligned: available, true
2017-01-27T13:28:42,371 | DEBUG | PlatformDependent0 | main | java.nio.DirectByteBuffer.<init>(long, int): available
2017-01-27T13:28:42,372 | DEBUG | Cleaner0 | main | java.nio.ByteBuffer.cleaner(): available
2017-01-27T13:28:42,373 | DEBUG | PlatformDependent | main | Java version: 8
2017-01-27T13:28:42,373 | DEBUG | PlatformDependent | main | -Dio.netty.noUnsafe: false
2017-01-27T13:28:42,373 | DEBUG | PlatformDependent | main | sun.misc.Unsafe: available
2017-01-27T13:28:42,373 | DEBUG | PlatformDependent | main | -Dio.netty.noJavassist: false
2017-01-27T13:28:42,449 | DEBUG | PlatformDependent | main | Javassist: available
2017-01-27T13:28:42,449 | DEBUG | PlatformDependent | main | -Dio.netty.tmpdir: /tmp (java.io.tmpdir)
2017-01-27T13:28:42,450 | DEBUG | PlatformDependent | main | -Dio.netty.bitMode: 64 (sun.arch.data.model)
2017-01-27T13:28:42,450 | DEBUG | PlatformDependent | main | -Dio.netty.noPreferDirect: false
2017-01-27T13:28:42,450 | DEBUG | PlatformDependent | main | io.netty.maxDirectMemory: 3728736256 bytes
2017-01-27T13:28:42,466 | DEBUG | PlatformDependent | main | org.jctools-core.MpscChunkedArrayQueue: available
2017-01-27T13:28:42,474 | DEBUG | NativeLibraryLoader | main | -Dio.netty.tmpdir: /tmp (java.io.tmpdir)
2017-01-27T13:28:42,474 | DEBUG | NativeLibraryLoader | main | -Dio.netty.native.workdir: /tmp (io.netty.tmpdir)
2017-01-27T13:28:42,491 | DEBUG | NetUtil | main | -Djava.net.preferIPv4Stack: false
2017-01-27T13:28:42,492 | DEBUG | NetUtil | main | -Djava.net.preferIPv6Addresses: false
2017-01-27T13:28:42,493 | DEBUG | NetUtil | main | Loopback interface: lo (lo, 0:0:0:0:0:0:0:1%lo)
2017-01-27T13:28:42,494 | DEBUG | NetUtil | main | /proc/sys/net/core/somaxconn: 128
2017-01-27T13:28:42,515 | DEBUG | DefaultChannelId | main | -Dio.netty.processId: 27701 (auto-detected)
2017-01-27T13:28:42,516 | DEBUG | DefaultChannelId | main | -Dio.netty.machineId: 40:2c:f4:ff:fe:e9:16:17 (auto-detected)
2017-01-27T13:28:42,518 | DEBUG | ThreadLocalRandom | main | -Dio.netty.initialSeedUniquifier: 0xc1d550d814ea8434
2017-01-27T13:28:42,529 | DEBUG | ResourceLeakDetector | main | -Dio.netty.leakDetection.level: simple
2017-01-27T13:28:42,530 | DEBUG | ResourceLeakDetector | main | -Dio.netty.leakDetection.maxRecords: 4
2017-01-27T13:28:42,550 | DEBUG | PooledByteBufAllocator | main | -Dio.netty.allocator.numHeapArenas: 8
2017-01-27T13:28:42,550 | DEBUG | PooledByteBufAllocator | main | -Dio.netty.allocator.numDirectArenas: 8
2017-01-27T13:28:42,550 | DEBUG | PooledByteBufAllocator | main | -Dio.netty.allocator.pageSize: 8192
2017-01-27T13:28:42,550 | DEBUG | PooledByteBufAllocator | main | -Dio.netty.allocator.maxOrder: 11
2017-01-27T13:28:42,550 | DEBUG | PooledByteBufAllocator | main | -Dio.netty.allocator.chunkSize: 16777216
2017-01-27T13:28:42,550 | DEBUG | PooledByteBufAllocator | main | -Dio.netty.allocator.tinyCacheSize: 512
2017-01-27T13:28:42,550 | DEBUG | PooledByteBufAllocator | main | -Dio.netty.allocator.smallCacheSize: 256
2017-01-27T13:28:42,550 | DEBUG | PooledByteBufAllocator | main | -Dio.netty.allocator.normalCacheSize: 64
2017-01-27T13:28:42,550 | DEBUG | PooledByteBufAllocator | main | -Dio.netty.allocator.maxCachedBufferCapacity: 32768
2017-01-27T13:28:42,552 | DEBUG | PooledByteBufAllocator | main | -Dio.netty.allocator.cacheTrimInterval: 8192
2017-01-27T13:28:42,561 | DEBUG | ByteBufUtil | main | -Dio.netty.allocator.type: pooled
