2017-01-27T13:46:16,304 | DEBUG | ParentJobBase | main | Load the subtree to the job "jsonScenario#2129144075"
2017-01-27T13:46:16,307 | INFO | JsonScenario | main | Scenario start
2017-01-27T13:46:16,307 | INFO | SequentialJob | main | jsonScenario#2129144075: execute 1 child jobs sequentially
2017-01-27T13:46:16,307 | DEBUG | SequentialJob | main | jsonScenario#2129144075: child job "singleLoadJobContainer#111900554" start
2017-01-27T13:46:16,307 | INFO | LoadJob | main | Run the load job "2017.01.27.13.46.15.597"
2017-01-27T13:46:16,336 | INFO | BasicStorageDriverBuilder | main | Work on the filesystem
2017-01-27T13:46:16,336 | INFO | BasicStorageDriverBuilder | main | Work on the files
2017-01-27T13:46:16,429 | INFO | LoadJob | main | Load drivers initialized
2017-01-27T13:46:16,431 | INFO | LoadJob | main | Work on the mutable data items
2017-01-27T13:46:16,444 | INFO | BasicFileStorageDriver | main | Output path "/tmp" already exists
2017-01-27T13:46:16,446 | INFO | LoadJob | main | Load generators initialized
2017-01-27T13:46:16,480 | DEBUG | BasicLoadMonitor | main | 2017.01.27.13.46.15.597: await for the done condition at most for 9223372036854775[s]
2017-01-27T13:46:16,712 | DEBUG | BasicLoadGenerator | Create100000NewDataItems(1KB) | Produced 100000 items
2017-01-27T13:46:41,265 | DEBUG | BasicLoadMonitor | main | 2017.01.27.13.46.15.597: done due to max count done state
2017-01-27T13:46:41,265 | DEBUG | BasicLoadMonitor | main | 2017.01.27.13.46.15.597: await exit due to "done" state
2017-01-27T13:46:41,265 | INFO | LoadJob | main | Load job "2017.01.27.13.46.15.597" done
2017-01-27T13:46:41,272 | DEBUG | BasicLoadMonitor | shutdownWorker#2 | 2017.01.27.13.46.15.597: storage driver "storage/driver/1/fs/460201727" shut down
2017-01-27T13:46:41,272 | DEBUG | BasicLoadMonitor | main | 2017.01.27.13.46.15.597: load monitor was shut down properly
2017-01-27T13:46:41,275 | DEBUG | NioStorageDriverBase | 2017.01.27.13.46.15.597-ioWorker#1 | Finish 0 remaining active tasks finally
2017-01-27T13:46:41,275 | DEBUG | NioStorageDriverBase | 2017.01.27.13.46.15.597-ioWorker#1 | Finish the remaining active tasks done
2017-01-27T13:46:41,275 | DEBUG | StorageDriverBase | interruptWorker#1 | storage/driver/1/fs/460201727: interrupted
2017-01-27T13:46:41,275 | DEBUG | BasicLoadMonitor | main | 2017.01.27.13.46.15.597: storage drivers have been interrupted properly
2017-01-27T13:46:41,276 | DEBUG | BasicLoadMonitor | main | 2017.01.27.13.46.15.597: interrupted the load monitor
2017-01-27T13:46:41,278 | DEBUG | BasicLoadMonitor | main | 2017.01.27.13.46.15.597: the load generator "Create100000NewDataItems(1KB)" has been closed
2017-01-27T13:46:41,279 | DEBUG | StorageDriverBase | ioResultsGetAndApplyWorker#1 | storage/driver/1/fs/460201727: closed
2017-01-27T13:46:41,279 | DEBUG | BasicLoadMonitor | ioResultsGetAndApplyWorker#1 | 2017.01.27.13.46.15.597: the storage driver "storage/driver/1/fs/460201727" has been closed
2017-01-27T13:46:41,280 | DEBUG | BasicLoadMonitor | main | 2017.01.27.13.46.15.597: final I/O result have been got and processed properly
2017-01-27T13:46:41,282 | DEBUG | BasicLoadMonitor | main | 2017.01.27.13.46.15.597: closed the load monitor
2017-01-27T13:46:41,282 | DEBUG | SequentialJob | main | jsonScenario#2129144075: child job "singleLoadJobContainer#111900554" is done
2017-01-27T13:46:41,282 | INFO | SequentialJob | main | jsonScenario#2129144075: finished the sequential execution of jsonScenario#2129144075 child jobs
2017-01-27T13:46:41,282 | INFO | JsonScenario | main | Scenario end
