DateTimeISO8601,TypeLoad,Concurrency,DriverCount,CountSucc,CountFail,Size,JobDuration[s],DurationSum[s],TPAvg[op/s],TPLast[op/s],BWAvg[MB/s],BWLast[MB/s],DurationAvg[us],DurationMin[us],DurationLoQ[us],DurationMed[us],DurationHiQ[us],DurationMax[us],LatencyAvg[us],LatencyMin[us],LatencyLoQ[us],LatencyMed[us],LatencyHiQ[us],LatencyMax[us]
"2017-01-27T13:46:16,481",CREATE,1,1,0,0,0,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0
"2017-01-27T13:46:26,479",CREATE,1,1,33057,0,33850368,10.009,9.654578,3302.7275452093118,2914.3666159540808,3381993.0062943352,2984311.4147369787,285.1157587548638,204,253,285,302,2540,285.1157587548638,204,269,293,315,4328
"2017-01-27T13:46:36,478",CREATE,1,1,72700,0,74444800,20.01,19.332873,3633.183408295852,3599.2149733370047,3720379.8100949526,3685596.132697093,259.45428015564204,204,222,250,287,2540,259.45428015564204,204,225,274,300,4328
