2017-01-27T13:29:02,614 | DEBUG | InternalLoggerFactory | main | Using java.util.logging as the default logging framework
2017-01-27T13:29:02,622 | DEBUG | MultithreadEventLoopGroup | main | -Dio.netty.eventLoopThreads: 8
2017-01-27T13:29:02,644 | DEBUG | PlatformDependent0 | main | java.nio.Buffer.address: available
2017-01-27T13:29:02,644 | DEBUG | PlatformDependent0 | main | sun.misc.Unsafe.theUnsafe: available
2017-01-27T13:29:02,645 | DEBUG | PlatformDependent0 | main | sun.misc.Unsafe.copyMemory: available
2017-01-27T13:29:02,645 | DEBUG | PlatformDependent0 | main | direct buffer constructor: available
2017-01-27T13:29:02,646 | DEBUG | PlatformDependent0 | main | java.nio.Bits.unaligned: available, true
2017-01-27T13:29:02,646 | DEBUG | PlatformDependent0 | main | java.nio.DirectByteBuffer.<init>(long, int): available
2017-01-27T13:29:02,648 | DEBUG | Cleaner0 | main | java.nio.ByteBuffer.cleaner(): available
2017-01-27T13:29:02,649 | DEBUG | PlatformDependent | main | Java version: 8
2017-01-27T13:29:02,649 | DEBUG | PlatformDependent | main | -Dio.netty.noUnsafe: false
2017-01-27T13:29:02,649 | DEBUG | PlatformDependent | main | sun.misc.Unsafe: available
2017-01-27T13:29:02,651 | DEBUG | PlatformDependent | main | -Dio.netty.noJavassist: false
2017-01-27T13:29:02,716 | DEBUG | PlatformDependent | main | Javassist: available
2017-01-27T13:29:02,716 | DEBUG | PlatformDependent | main | -Dio.netty.tmpdir: /tmp (java.io.tmpdir)
2017-01-27T13:29:02,716 | DEBUG | PlatformDependent | main | -Dio.netty.bitMode: 64 (sun.arch.data.model)
2017-01-27T13:29:02,716 | DEBUG | PlatformDependent | main | -Dio.netty.noPreferDirect: false
2017-01-27T13:29:02,718 | DEBUG | PlatformDependent | main | io.netty.maxDirectMemory: 3728736256 bytes
2017-01-27T13:29:02,733 | DEBUG | PlatformDependent | main | org.jctools-core.MpscChunkedArrayQueue: available
2017-01-27T13:29:02,741 | DEBUG | NativeLibraryLoader | main | -Dio.netty.tmpdir: /tmp (java.io.tmpdir)
2017-01-27T13:29:02,741 | DEBUG | NativeLibraryLoader | main | -Dio.netty.native.workdir: /tmp (io.netty.tmpdir)
2017-01-27T13:29:02,758 | DEBUG | NetUtil | main | -Djava.net.preferIPv4Stack: false
2017-01-27T13:29:02,758 | DEBUG | NetUtil | main | -Djava.net.preferIPv6Addresses: false
2017-01-27T13:29:02,758 | DEBUG | NetUtil | main | Loopback interface: lo (lo, 0:0:0:0:0:0:0:1%lo)
2017-01-27T13:29:02,759 | DEBUG | NetUtil | main | /proc/sys/net/core/somaxconn: 128
2017-01-27T13:29:02,841 | DEBUG | DefaultChannelId | main | -Dio.netty.processId: 27757 (auto-detected)
2017-01-27T13:29:02,842 | DEBUG | DefaultChannelId | main | -Dio.netty.machineId: 40:2c:f4:ff:fe:e9:16:17 (auto-detected)
2017-01-27T13:29:02,843 | DEBUG | ThreadLocalRandom | main | -Dio.netty.initialSeedUniquifier: 0xf413d7acbba580f5
2017-01-27T13:29:02,855 | DEBUG | ResourceLeakDetector | main | -Dio.netty.leakDetection.level: simple
2017-01-27T13:29:02,855 | DEBUG | ResourceLeakDetector | main | -Dio.netty.leakDetection.maxRecords: 4
2017-01-27T13:29:02,865 | DEBUG | PooledByteBufAllocator | main | -Dio.netty.allocator.numHeapArenas: 8
2017-01-27T13:29:02,865 | DEBUG | PooledByteBufAllocator | main | -Dio.netty.allocator.numDirectArenas: 8
2017-01-27T13:29:02,865 | DEBUG | PooledByteBufAllocator | main | -Dio.netty.allocator.pageSize: 8192
2017-01-27T13:29:02,865 | DEBUG | PooledByteBufAllocator | main | -Dio.netty.allocator.maxOrder: 11
2017-01-27T13:29:02,865 | DEBUG | PooledByteBufAllocator | main | -Dio.netty.allocator.chunkSize: 16777216
