2017-01-27T13:36:42,967 | DEBUG | InternalLoggerFactory | main | Using java.util.logging as the default logging framework
2017-01-27T13:36:42,971 | DEBUG | MultithreadEventLoopGroup | main | -Dio.netty.eventLoopThreads: 8
2017-01-27T13:36:42,993 | DEBUG | PlatformDependent0 | main | java.nio.Buffer.address: available
2017-01-27T13:36:42,993 | DEBUG | PlatformDependent0 | main | sun.misc.Unsafe.theUnsafe: available
2017-01-27T13:36:42,994 | DEBUG | PlatformDependent0 | main | sun.misc.Unsafe.copyMemory: available
2017-01-27T13:36:42,995 | DEBUG | PlatformDependent0 | main | direct buffer constructor: available
2017-01-27T13:36:42,996 | DEBUG | PlatformDependent0 | main | java.nio.Bits.unaligned: available, true
2017-01-27T13:36:42,996 | DEBUG | PlatformDependent0 | main | java.nio.DirectByteBuffer.<init>(long, int): available
2017-01-27T13:36:42,997 | DEBUG | Cleaner0 | main | java.nio.ByteBuffer.cleaner(): available
2017-01-27T13:36:42,998 | DEBUG | PlatformDependent | main | Java version: 8
2017-01-27T13:36:42,998 | DEBUG | PlatformDependent | main | -Dio.netty.noUnsafe: false
2017-01-27T13:36:42,998 | DEBUG | PlatformDependent | main | sun.misc.Unsafe: available
2017-01-27T13:36:42,999 | DEBUG | PlatformDependent | main | -Dio.netty.noJavassist: false
2017-01-27T13:36:43,065 | DEBUG | PlatformDependent | main | Javassist: available
2017-01-27T13:36:43,065 | DEBUG | PlatformDependent | main | -Dio.netty.tmpdir: /tmp (java.io.tmpdir)
2017-01-27T13:36:43,065 | DEBUG | PlatformDependent | main | -Dio.netty.bitMode: 64 (sun.arch.data.model)
2017-01-27T13:36:43,065 | DEBUG | PlatformDependent | main | -Dio.netty.noPreferDirect: false
2017-01-27T13:36:43,065 | DEBUG | PlatformDependent | main | io.netty.maxDirectMemory: 3728736256 bytes
2017-01-27T13:36:43,081 | DEBUG | PlatformDependent | main | org.jctools-core.MpscChunkedArrayQueue: available
2017-01-27T13:36:43,088 | DEBUG | NativeLibraryLoader | main | -Dio.netty.tmpdir: /tmp (java.io.tmpdir)
2017-01-27T13:36:43,088 | DEBUG | NativeLibraryLoader | main | -Dio.netty.native.workdir: /tmp (io.netty.tmpdir)
2017-01-27T13:36:43,106 | DEBUG | NetUtil | main | -Djava.net.preferIPv4Stack: false
2017-01-27T13:36:43,106 | DEBUG | NetUtil | main | -Djava.net.preferIPv6Addresses: false
2017-01-27T13:36:43,106 | DEBUG | NetUtil | main | Loopback interface: lo (lo, 0:0:0:0:0:0:0:1%lo)
2017-01-27T13:36:43,107 | DEBUG | NetUtil | main | /proc/sys/net/core/somaxconn: 128
2017-01-27T13:36:43,189 | DEBUG | DefaultChannelId | main | -Dio.netty.processId: 28063 (auto-detected)
2017-01-27T13:36:43,190 | DEBUG | DefaultChannelId | main | -Dio.netty.machineId: 40:2c:f4:ff:fe:e9:16:17 (auto-detected)
2017-01-27T13:36:43,191 | DEBUG | ThreadLocalRandom | main | -Dio.netty.initialSeedUniquifier: 0x54de9db2d07d236b
2017-01-27T13:36:43,203 | DEBUG | ResourceLeakDetector | main | -Dio.netty.leakDetection.level: simple
2017-01-27T13:36:43,204 | DEBUG | ResourceLeakDetector | main | -Dio.netty.leakDetection.maxRecords: 4
2017-01-27T13:36:43,213 | DEBUG | PooledByteBufAllocator | main | -Dio.netty.allocator.numHeapArenas: 8
2017-01-27T13:36:43,213 | DEBUG | PooledByteBufAllocator | main | -Dio.netty.allocator.numDirectArenas: 8
2017-01-27T13:36:43,213 | DEBUG | PooledByteBufAllocator | main | -Dio.netty.allocator.pageSize: 8192
2017-01-27T13:36:43,213 | DEBUG | PooledByteBufAllocator | main | -Dio.netty.allocator.maxOrder: 11
2017-01-27T13:36:43,213 | DEBUG | PooledByteBufAllocator | main | -Dio.netty.allocator.chunkSize: 16777216
2017-01-27T13:36:43,213 | DEBUG | PooledByteBufAllocator | main | -Dio.netty.allocator.tinyCacheSize: 512
2017-01-27T13:36:43,213 | DEBUG | PooledByteBufAllocator | main | -Dio.netty.allocator.smallCacheSize: 256
2017-01-27T13:36:43,213 | DEBUG | PooledByteBufAllocator | main | -Dio.netty.allocator.normalCacheSize: 64
2017-01-27T13:36:43,213 | DEBUG | PooledByteBufAllocator | main | -Dio.netty.allocator.maxCachedBufferCapacity: 32768
2017-01-27T13:36:43,213 | DEBUG | PooledByteBufAllocator | main | -Dio.netty.allocator.cacheTrimInterval: 8192
2017-01-27T13:36:43,222 | DEBUG | ByteBufUtil | main | -Dio.netty.allocator.type: pooled
2017-01-27T13:36:43,222 | DEBUG | ByteBufUtil | main | -Dio.netty.threadLocalDirectBufferSize: 65536
2017-01-27T13:36:43,222 | DEBUG | ByteBufUtil | main | -Dio.netty.maxThreadLocalCharBufferSize: 16384
2017-01-27T13:36:43,245 | DEBUG | AbstractByteBuf | ioWorker#1 | -Dio.netty.buffer.bytebuf.checkAccessible: true
2017-01-27T13:36:43,247 | DEBUG | ResourceLeakDetectorFactory | ioWorker#1 | Loaded default ResourceLeakDetector: io.netty.util.ResourceLeakDetector@59dfec51
