DateTimeISO8601,TypeLoad,Concurrency,DriverCount,CountSucc,CountFail,Size,JobDuration[s],DurationSum[s],TPAvg[op/s],TPLast[op/s],BWAvg[MB/s],BWLast[MB/s],DurationAvg[us],DurationMin[us],DurationLoQ[us],DurationMed[us],DurationHiQ[us],DurationMax[us],LatencyAvg[us],LatencyMin[us],LatencyLoQ[us],LatencyMed[us],LatencyHiQ[us],LatencyMax[us]
"2017-01-27T13:40:04,397",READ,1,1,0,0,0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0
"2017-01-27T13:40:14,395",READ,1,1,5037,0,5281677312,10.003,9.409886,503.54893531940417,382.3003258098602,5.2800932840147954E8,4.008709464364E8,1815.7918287937744,1534,1639,1682,1763,16895,1815.7918287937744,38,61,77,101,10260
"2017-01-27T13:40:24,395",READ,1,1,10735,0,11256463360,20.006,19.123154,536.5890232930121,501.3098899578664,5.626543716884935E8,5.256615191724597E8,1742.1225680933853,1520,1619,1661,1733,7889,1742.1225680933853,38,61,77,101,577
"2017-01-27T13:40:34,395",READ,1,1,16461,0,17260609536,30.004,28.894084,548.6268497533662,546.0624677716688,5.752769476069857E8,5.725879982061454E8,1725.2859922178989,1520,1607,1651,1716,7889,1725.2859922178989,38,61,77,101,577
