DateTimeISO8601,OpType,Concurrency,NodeCount,ConcurrencyCurr,ConcurrencyMean,CountSucc,CountFail,Size,StepDuration[s],DurationSum[s],TPAvg[op/s],TPLast[op/s],BWAvg[MB/s],BWLast[MB/s],DurationAvg[us],DurationMin[us],DurationLoQ[us],DurationMed[us],DurationHiQ[us],DurationMax[us],LatencyAvg[us],LatencyMin[us],LatencyLoQ[us],LatencyMed[us],LatencyHiQ[us],LatencyMax[us]
"2018-10-03T12:48:40,811",UPDATE,1,1,0,0.0,0,0,0,0.026,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0
"2018-10-03T12:48:50,808",UPDATE,1,1,1,0.0,6256,0,6559891456,10.027,4.916041,623.9154283434726,3343.0,6.542227441906852E8,3.505389568E9,1200.0,248,1272,780,472,23262,267.0,248,61,89,241,13976
"2018-10-03T12:49:00,807",UPDATE,1,1,1,0.0,18350,0,19241369600,20.027,3.121099,916.2630448893993,3281.8360788638397,9.607714385579468E8,3.439657985038001E9,761.0,229,691,566,320,24514,206.0,229,25,48,162,11010
