2017-01-27T13:55:40,801 | DEBUG | InternalLoggerFactory | main | Using java.util.logging as the default logging framework
2017-01-27T13:55:40,806 | DEBUG | MultithreadEventLoopGroup | main | -Dio.netty.eventLoopThreads: 8
2017-01-27T13:55:40,827 | DEBUG | PlatformDependent0 | main | java.nio.Buffer.address: available
2017-01-27T13:55:40,827 | DEBUG | PlatformDependent0 | main | sun.misc.Unsafe.theUnsafe: available
2017-01-27T13:55:40,828 | DEBUG | PlatformDependent0 | main | sun.misc.Unsafe.copyMemory: available
2017-01-27T13:55:40,828 | DEBUG | PlatformDependent0 | main | direct buffer constructor: available
2017-01-27T13:55:40,829 | DEBUG | PlatformDependent0 | main | java.nio.Bits.unaligned: available, true
2017-01-27T13:55:40,829 | DEBUG | PlatformDependent0 | main | java.nio.DirectByteBuffer.<init>(long, int): available
2017-01-27T13:55:40,830 | DEBUG | Cleaner0 | main | java.nio.ByteBuffer.cleaner(): available
2017-01-27T13:55:40,830 | DEBUG | PlatformDependent | main | Java version: 8
2017-01-27T13:55:40,831 | DEBUG | PlatformDependent | main | -Dio.netty.noUnsafe: false
2017-01-27T13:55:40,831 | DEBUG | PlatformDependent | main | sun.misc.Unsafe: available
2017-01-27T13:55:40,831 | DEBUG | PlatformDependent | main | -Dio.netty.noJavassist: false
2017-01-27T13:55:40,898 | DEBUG | PlatformDependent | main | Javassist: available
2017-01-27T13:55:40,898 | DEBUG | PlatformDependent | main | -Dio.netty.tmpdir: /tmp (java.io.tmpdir)
2017-01-27T13:55:40,898 | DEBUG | PlatformDependent | main | -Dio.netty.bitMode: 64 (sun.arch.data.model)
2017-01-27T13:55:40,898 | DEBUG | PlatformDependent | main | -Dio.netty.noPreferDirect: false
2017-01-27T13:55:40,898 | DEBUG | PlatformDependent | main | io.netty.maxDirectMemory: 3728736256 bytes
2017-01-27T13:55:40,916 | DEBUG | PlatformDependent | main | org.jctools-core.MpscChunkedArrayQueue: available
2017-01-27T13:55:40,923 | DEBUG | NativeLibraryLoader | main | -Dio.netty.tmpdir: /tmp (java.io.tmpdir)
2017-01-27T13:55:40,923 | DEBUG | NativeLibraryLoader | main | -Dio.netty.native.workdir: /tmp (io.netty.tmpdir)
2017-01-27T13:55:40,940 | DEBUG | NetUtil | main | -Djava.net.preferIPv4Stack: false
2017-01-27T13:55:40,940 | DEBUG | NetUtil | main | -Djava.net.preferIPv6Addresses: false
2017-01-27T13:55:40,941 | DEBUG | NetUtil | main | Loopback interface: lo (lo, 0:0:0:0:0:0:0:1%lo)
2017-01-27T13:55:40,942 | DEBUG | NetUtil | main | /proc/sys/net/core/somaxconn: 128
2017-01-27T13:55:41,103 | DEBUG | DefaultChannelId | ioTasksDispatcher | -Dio.netty.processId: 28397 (auto-detected)
2017-01-27T13:55:41,106 | DEBUG | DefaultChannelId | ioTasksDispatcher | -Dio.netty.machineId: 40:2c:f4:ff:fe:e9:16:17 (auto-detected)
2017-01-27T13:55:41,107 | DEBUG | ThreadLocalRandom | ioTasksDispatcher | -Dio.netty.initialSeedUniquifier: 0x7c5d8cbc64429a6e
2017-01-27T13:55:41,120 | DEBUG | ResourceLeakDetector | ioTasksDispatcher | -Dio.netty.leakDetection.level: simple
