DateTimeISO8601,TypeLoad,Concurrency,DriverCount,CountSucc,CountFail,Size,JobDuration[s],DurationSum[s],TPAvg[op/s],TPLast[op/s],BWAvg[MB/s],BWLast[MB/s],DurationAvg[us],DurationMin[us],DurationLoQ[us],DurationMed[us],DurationHiQ[us],DurationMax[us],LatencyAvg[us],LatencyMin[us],LatencyLoQ[us],LatencyMed[us],LatencyHiQ[us],LatencyMax[us]
"2017-01-27T13:55:41,043",UPDATE,1,1,0,0,0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0
"2017-01-27T13:55:51,039",UPDATE,1,1,38854,138,1905484803,10.004,7.179861,3883.8464614154336,2865.1906397121757,1.9047229138344663E8,1.3918348378692824E8,197.75,77,100,120,173,15573,197.75,15,45,56,73,12237
"2017-01-27T13:56:01,037",UPDATE,1,1,90003,275,4494784214,20.004,14.418514,4499.250149970006,4293.686577872756,2.2469427184563088E8,2.1570229795917833E8,163.27431906614785,75,99,117,152,15573,163.27431906614785,11,42,54,69,1898
