2018-10-03T12:39:04,199 | INFO |  | main | linear_20181003.123904.186: creating the storage driver instance for the type "s3"
2018-10-03T12:39:04,204 | INFO |  | main | storage/driver/1/amzs3/1736293769: use 4 I/O workers
2018-10-03T12:39:04,207 | DEBUG |  | main | Using the file "list2.csv" as items input
2018-10-03T12:39:04,208 | INFO |  | main | linear_20181003.123904.186: scatter the items from the input "DataItemsFromFile(list2.csv)"...
2018-10-03T12:39:04,208 | INFO |  | main | linear_20181003.123904.186: slice the item input "DataItemsFromFile(list2.csv)"...
2018-10-03T12:39:04,209 | INFO |  | main | Items input "DataItemsFromFile(list2.csv)": starting to distribute the items among the 1 load step slices
2018-10-03T12:39:04,220 | INFO |  | main | Items input "DataItemsFromFile(list2.csv)": 200 items was distributed among the 1 load step slices
2018-10-03T12:39:04,222 | DEBUG |  | main | linear_20181003.123904.186: item input file slicer initialized
2018-10-03T12:39:04,222 | DEBUG |  | main | storage/driver/1/amzs3/1736293769: closed
2018-10-03T12:39:04,223 | DEBUG |  | main | linear_20181003.123904.186: item output file aggregator initialized
2018-10-03T12:39:04,230 | INFO |  | main | linear_20181003.123904.186: creating the storage driver instance for the type "s3"
2018-10-03T12:39:04,232 | INFO |  | main | storage/driver/1/amzs3/324507700: use 4 I/O workers
2018-10-03T12:39:04,236 | DEBUG |  | main | Using the file "/tmp/mongoose/344067689009258" as items input
2018-10-03T12:39:04,245 | DEBUG |  | main | Started the metrics manager fiber
2018-10-03T12:39:04,245 | DEBUG |  | main | Metrics context "MetricsContextImpl(UPDATE-1x1@linear_20181003.123904.186)" registered
2018-10-03T12:39:04,245 | INFO |  | main | linear_20181003.123904.186: load step client started, additional nodes: []
2018-10-03T12:39:04,246 | DEBUG |  | main | linear_20181003.123904.186: await for 1 step slices for at most 9223372036854775807 seconds...
2018-10-03T12:39:04,251 | DEBUG |  | ioWorker#2 | linear_20181003.123904.186: new unpooled connection -1267369406, pipeline: DefaultChannelPipeline{(NettyStorageDriverBase$1#0 = com.emc.mongoose.storage.driver.coop.netty.NettyStorageDriverBase$1), (IdleStateHandler#0 = io.netty.handler.timeout.IdleStateHandler), (HttpClientCodec#0 = io.netty.handler.codec.http.HttpClientCodec), (ChunkedWriteHandler#0 = io.netty.handler.stream.ChunkedWriteHandler), (AmzS3ResponseHandler#0 = com.emc.mongoose.storage.driver.coop.netty.http.s3.AmzS3ResponseHandler)}
2018-10-03T12:39:04,251 | DEBUG |  | fibers-executor-#3 | linear_20181003.123904.186: execute the HTTP request using the channel -1267369406 w/ pipeline: DefaultChannelPipeline{(IdleStateHandler#0 = io.netty.handler.timeout.IdleStateHandler), (HttpClientCodec#0 = io.netty.handler.codec.http.HttpClientCodec), (ChunkedWriteHandler#0 = io.netty.handler.stream.ChunkedWriteHandler), (AmzS3ResponseHandler#0 = com.emc.mongoose.storage.driver.coop.netty.http.s3.AmzS3ResponseHandler)}
2018-10-03T12:39:04,264 | DEBUG |  | ioWorker#3 | linear_20181003.123904.186: new unpooled connection -1306689750, pipeline: DefaultChannelPipeline{(NettyStorageDriverBase$1#0 = com.emc.mongoose.storage.driver.coop.netty.NettyStorageDriverBase$1), (IdleStateHandler#0 = io.netty.handler.timeout.IdleStateHandler), (HttpClientCodec#0 = io.netty.handler.codec.http.HttpClientCodec), (ChunkedWriteHandler#0 = io.netty.handler.stream.ChunkedWriteHandler), (AmzS3ResponseHandler#0 = com.emc.mongoose.storage.driver.coop.netty.http.s3.AmzS3ResponseHandler)}
2018-10-03T12:39:04,268 | DEBUG |  | fibers-executor-#3 | linear_20181003.123904.186: execute the HTTP request using the channel -1306689750 w/ pipeline: DefaultChannelPipeline{(IdleStateHandler#0 = io.netty.handler.timeout.IdleStateHandler), (HttpClientCodec#0 = io.netty.handler.codec.http.HttpClientCodec), (ChunkedWriteHandler#0 = io.netty.handler.stream.ChunkedWriteHandler), (AmzS3ResponseHandler#0 = com.emc.mongoose.storage.driver.coop.netty.http.s3.AmzS3ResponseHandler)}
2018-10-03T12:39:04,301 | DEBUG |  | fibers-executor-#3 | End of items input "binFileInput<344067689009258>"
2018-10-03T12:39:15,625 | DEBUG |  | logCtxShutDownHook | storage/driver/1/amzs3/324507700: shutdown the I/O executor
2018-10-03T12:39:15,649 | DEBUG |  | logCtxShutDownHook | linear_20181003.123904.186: storage driver storage/driver/1/amzs3/324507700 stopped
2018-10-03T12:39:15,649 | DEBUG |  | logCtxShutDownHook | linear_20181003.123904.186: final results processing start
2018-10-03T12:39:15,649 | DEBUG |  | logCtxShutDownHook | linear_20181003.123904.186: final results processing done
2018-10-03T12:39:15,649 | INFO |  | logCtxShutDownHook | linear_20181003.123904.186: please wait while performing 199 I/O results output...
2018-10-03T12:39:15,705 | INFO |  | logCtxShutDownHook | linear_20181003.123904.186: I/O results output done
2018-10-03T12:39:15,718 | DEBUG |  | logCtxShutDownHook | linear_20181003.123904.186: poisoned the items output
2018-10-03T12:39:15,718 | DEBUG |  | logCtxShutDownHook | linear_20181003.123904.186: interrupted the load step context
2018-10-03T12:39:15,718 | DEBUG |  | logCtxShutDownHook | Metrics context "MetricsContextImpl(UPDATE-1x1@linear_20181003.123904.186)" unregistered
2018-10-03T12:39:15,722 | INFO |  | fibers-executor-#1 | linear_20181003.123904.186: done due to STOPPED state
2018-10-03T12:39:15,722 | INFO |  | fibers-executor-#4 | linear_20181003.123904.186: done due to STOPPED state
2018-10-03T12:39:15,726 | DEBUG |  | logCtxShutDownHook | Metrics context "DistributedMetricsContextImpl(UPDATE-1x1@linear_20181003.123904.186)" unregistered
2018-10-03T12:39:15,726 | DEBUG |  | logCtxShutDownHook | Stopped the metrics manager fiber
2018-10-03T12:39:15,729 | DEBUG |  | logCtxShutDownHook | storage/driver/1/amzs3/324507700: closed
2018-10-03T12:39:15,730 | INFO |  | fibers-executor-#4 | linear_20181003.123904.186: done due to STOPPED state
2018-10-03T12:39:15,730 | INFO |  | fibers-executor-#1 | linear_20181003.123904.186: done due to STOPPED state
2018-10-03T12:39:15,730 | INFO |  | fibers-executor-#4 | linear_20181003.123904.186: done due to STOPPED state
2018-10-03T12:39:15,730 | INFO |  | fibers-executor-#1 | linear_20181003.123904.186: done due to STOPPED state
2018-10-03T12:39:15,730 | INFO |  | fibers-executor-#4 | linear_20181003.123904.186: done due to STOPPED state
