2017-01-27T13:58:24,880 | DEBUG | InternalLoggerFactory | main | Using java.util.logging as the default logging framework
2017-01-27T13:58:24,884 | DEBUG | MultithreadEventLoopGroup | main | -Dio.netty.eventLoopThreads: 8
2017-01-27T13:58:24,905 | DEBUG | PlatformDependent0 | main | java.nio.Buffer.address: available
2017-01-27T13:58:24,906 | DEBUG | PlatformDependent0 | main | sun.misc.Unsafe.theUnsafe: available
2017-01-27T13:58:24,906 | DEBUG | PlatformDependent0 | main | sun.misc.Unsafe.copyMemory: available
2017-01-27T13:58:24,907 | DEBUG | PlatformDependent0 | main | direct buffer constructor: available
2017-01-27T13:58:24,907 | DEBUG | PlatformDependent0 | main | java.nio.Bits.unaligned: available, true
2017-01-27T13:58:24,907 | DEBUG | PlatformDependent0 | main | java.nio.DirectByteBuffer.<init>(long, int): available
2017-01-27T13:58:24,908 | DEBUG | Cleaner0 | main | java.nio.ByteBuffer.cleaner(): available
2017-01-27T13:58:24,909 | DEBUG | PlatformDependent | main | Java version: 8
2017-01-27T13:58:24,909 | DEBUG | PlatformDependent | main | -Dio.netty.noUnsafe: false
2017-01-27T13:58:24,909 | DEBUG | PlatformDependent | main | sun.misc.Unsafe: available
2017-01-27T13:58:24,909 | DEBUG | PlatformDependent | main | -Dio.netty.noJavassist: false
2017-01-27T13:58:24,973 | DEBUG | PlatformDependent | main | Javassist: available
2017-01-27T13:58:24,973 | DEBUG | PlatformDependent | main | -Dio.netty.tmpdir: /tmp (java.io.tmpdir)
2017-01-27T13:58:24,973 | DEBUG | PlatformDependent | main | -Dio.netty.bitMode: 64 (sun.arch.data.model)
2017-01-27T13:58:24,974 | DEBUG | PlatformDependent | main | -Dio.netty.noPreferDirect: false
2017-01-27T13:58:24,974 | DEBUG | PlatformDependent | main | io.netty.maxDirectMemory: 3728736256 bytes
2017-01-27T13:58:24,990 | DEBUG | PlatformDependent | main | org.jctools-core.MpscChunkedArrayQueue: available
2017-01-27T13:58:24,998 | DEBUG | NativeLibraryLoader | main | -Dio.netty.tmpdir: /tmp (java.io.tmpdir)
2017-01-27T13:58:24,998 | DEBUG | NativeLibraryLoader | main | -Dio.netty.native.workdir: /tmp (io.netty.tmpdir)
2017-01-27T13:58:25,015 | DEBUG | NetUtil | main | -Djava.net.preferIPv4Stack: false
2017-01-27T13:58:25,015 | DEBUG | NetUtil | main | -Djava.net.preferIPv6Addresses: false
2017-01-27T13:58:25,016 | DEBUG | NetUtil | main | Loopback interface: lo (lo, 0:0:0:0:0:0:0:1%lo)
2017-01-27T13:58:25,016 | DEBUG | NetUtil | main | /proc/sys/net/core/somaxconn: 128
