2017-02-01T19:09:19,122 | DEBUG | InternalLoggerFactory | main | Using java.util.logging as the default logging framework
2017-02-01T19:09:19,127 | DEBUG | MultithreadEventLoopGroup | main | -Dio.netty.eventLoopThreads: 8
2017-02-01T19:09:19,147 | DEBUG | PlatformDependent0 | main | java.nio.Buffer.address: available
2017-02-01T19:09:19,148 | DEBUG | PlatformDependent0 | main | sun.misc.Unsafe.theUnsafe: available
2017-02-01T19:09:19,148 | DEBUG | PlatformDependent0 | main | sun.misc.Unsafe.copyMemory: available
2017-02-01T19:09:19,149 | DEBUG | PlatformDependent0 | main | direct buffer constructor: available
2017-02-01T19:09:19,149 | DEBUG | PlatformDependent0 | main | java.nio.Bits.unaligned: available, true
2017-02-01T19:09:19,149 | DEBUG | PlatformDependent0 | main | java.nio.DirectByteBuffer.<init>(long, int): available
2017-02-01T19:09:19,150 | DEBUG | Cleaner0 | main | java.nio.ByteBuffer.cleaner(): available
2017-02-01T19:09:19,151 | DEBUG | PlatformDependent | main | Java version: 8
2017-02-01T19:09:19,151 | DEBUG | PlatformDependent | main | -Dio.netty.noUnsafe: false
2017-02-01T19:09:19,151 | DEBUG | PlatformDependent | main | sun.misc.Unsafe: available
2017-02-01T19:09:19,151 | DEBUG | PlatformDependent | main | -Dio.netty.noJavassist: false
2017-02-01T19:09:19,215 | DEBUG | PlatformDependent | main | Javassist: available
2017-02-01T19:09:19,216 | DEBUG | PlatformDependent | main | -Dio.netty.tmpdir: /tmp (java.io.tmpdir)
2017-02-01T19:09:19,216 | DEBUG | PlatformDependent | main | -Dio.netty.bitMode: 64 (sun.arch.data.model)
2017-02-01T19:09:19,216 | DEBUG | PlatformDependent | main | -Dio.netty.noPreferDirect: false
2017-02-01T19:09:19,216 | DEBUG | PlatformDependent | main | io.netty.maxDirectMemory: 3728736256 bytes
2017-02-01T19:09:19,232 | DEBUG | PlatformDependent | main | org.jctools-core.MpscChunkedArrayQueue: available
2017-02-01T19:09:19,240 | DEBUG | NativeLibraryLoader | main | -Dio.netty.tmpdir: /tmp (java.io.tmpdir)
2017-02-01T19:09:19,240 | DEBUG | NativeLibraryLoader | main | -Dio.netty.native.workdir: /tmp (io.netty.tmpdir)
2017-02-01T19:09:19,257 | DEBUG | NetUtil | main | -Djava.net.preferIPv4Stack: false
2017-02-01T19:09:19,257 | DEBUG | NetUtil | main | -Djava.net.preferIPv6Addresses: false
2017-02-01T19:09:19,258 | DEBUG | NetUtil | main | Loopback interface: lo (lo, 0:0:0:0:0:0:0:1%lo)
2017-02-01T19:09:19,259 | DEBUG | NetUtil | main | /proc/sys/net/core/somaxconn: 128
2017-02-01T19:09:19,353 | DEBUG | DefaultChannelId | main | -Dio.netty.processId: 12344 (auto-detected)
2017-02-01T19:09:19,354 | DEBUG | DefaultChannelId | main | -Dio.netty.machineId: 40:2c:f4:ff:fe:e9:16:17 (auto-detected)
2017-02-01T19:09:19,355 | DEBUG | ThreadLocalRandom | main | -Dio.netty.initialSeedUniquifier: 0x504ec31eddc7f0e8
2017-02-01T19:09:19,368 | DEBUG | ResourceLeakDetector | main | -Dio.netty.leakDetection.level: simple
2017-02-01T19:09:19,368 | DEBUG | ResourceLeakDetector | main | -Dio.netty.leakDetection.maxRecords: 4
2017-02-01T19:09:19,377 | DEBUG | PooledByteBufAllocator | main | -Dio.netty.allocator.numHeapArenas: 8
2017-02-01T19:09:19,377 | DEBUG | PooledByteBufAllocator | main | -Dio.netty.allocator.numDirectArenas: 8
2017-02-01T19:09:19,377 | DEBUG | PooledByteBufAllocator | main | -Dio.netty.allocator.pageSize: 8192
2017-02-01T19:09:19,378 | DEBUG | PooledByteBufAllocator | main | -Dio.netty.allocator.maxOrder: 11
2017-02-01T19:09:19,378 | DEBUG | PooledByteBufAllocator | main | -Dio.netty.allocator.chunkSize: 16777216
