2017-01-27T13:53:04,249 | DEBUG | InternalLoggerFactory | main | Using java.util.logging as the default logging framework
2017-01-27T13:53:04,254 | DEBUG | MultithreadEventLoopGroup | main | -Dio.netty.eventLoopThreads: 8
2017-01-27T13:53:04,275 | DEBUG | PlatformDependent0 | main | java.nio.Buffer.address: available
2017-01-27T13:53:04,276 | DEBUG | PlatformDependent0 | main | sun.misc.Unsafe.theUnsafe: available
2017-01-27T13:53:04,276 | DEBUG | PlatformDependent0 | main | sun.misc.Unsafe.copyMemory: available
2017-01-27T13:53:04,277 | DEBUG | PlatformDependent0 | main | direct buffer constructor: available
2017-01-27T13:53:04,277 | DEBUG | PlatformDependent0 | main | java.nio.Bits.unaligned: available, true
2017-01-27T13:53:04,277 | DEBUG | PlatformDependent0 | main | java.nio.DirectByteBuffer.<init>(long, int): available
2017-01-27T13:53:04,278 | DEBUG | Cleaner0 | main | java.nio.ByteBuffer.cleaner(): available
2017-01-27T13:53:04,279 | DEBUG | PlatformDependent | main | Java version: 8
2017-01-27T13:53:04,279 | DEBUG | PlatformDependent | main | -Dio.netty.noUnsafe: false
2017-01-27T13:53:04,279 | DEBUG | PlatformDependent | main | sun.misc.Unsafe: available
2017-01-27T13:53:04,279 | DEBUG | PlatformDependent | main | -Dio.netty.noJavassist: false
2017-01-27T13:53:04,344 | DEBUG | PlatformDependent | main | Javassist: available
2017-01-27T13:53:04,344 | DEBUG | PlatformDependent | main | -Dio.netty.tmpdir: /tmp (java.io.tmpdir)
2017-01-27T13:53:04,344 | DEBUG | PlatformDependent | main | -Dio.netty.bitMode: 64 (sun.arch.data.model)
2017-01-27T13:53:04,344 | DEBUG | PlatformDependent | main | -Dio.netty.noPreferDirect: false
2017-01-27T13:53:04,344 | DEBUG | PlatformDependent | main | io.netty.maxDirectMemory: 3728736256 bytes
2017-01-27T13:53:04,360 | DEBUG | PlatformDependent | main | org.jctools-core.MpscChunkedArrayQueue: available
2017-01-27T13:53:04,367 | DEBUG | NativeLibraryLoader | main | -Dio.netty.tmpdir: /tmp (java.io.tmpdir)
2017-01-27T13:53:04,367 | DEBUG | NativeLibraryLoader | main | -Dio.netty.native.workdir: /tmp (io.netty.tmpdir)
2017-01-27T13:53:04,384 | DEBUG | NetUtil | main | -Djava.net.preferIPv4Stack: false
2017-01-27T13:53:04,384 | DEBUG | NetUtil | main | -Djava.net.preferIPv6Addresses: false
2017-01-27T13:53:04,385 | DEBUG | NetUtil | main | Loopback interface: lo (lo, 0:0:0:0:0:0:0:1%lo)
2017-01-27T13:53:04,385 | DEBUG | NetUtil | main | /proc/sys/net/core/somaxconn: 128
2017-01-27T13:53:04,538 | DEBUG | DefaultChannelId | ioTasksDispatcher | -Dio.netty.processId: 28315 (auto-detected)
2017-01-27T13:53:04,540 | DEBUG | DefaultChannelId | ioTasksDispatcher | -Dio.netty.machineId: 40:2c:f4:ff:fe:e9:16:17 (auto-detected)
2017-01-27T13:53:04,541 | DEBUG | ThreadLocalRandom | ioTasksDispatcher | -Dio.netty.initialSeedUniquifier: 0x848be77010e9fca2
2017-01-27T13:53:04,554 | DEBUG | ResourceLeakDetector | ioTasksDispatcher | -Dio.netty.leakDetection.level: simple
2017-01-27T13:53:04,554 | DEBUG | ResourceLeakDetector | ioTasksDispatcher | -Dio.netty.leakDetection.maxRecords: 4
2017-01-27T13:53:04,582 | DEBUG | PooledByteBufAllocator | ioTasksDispatcher | -Dio.netty.allocator.numHeapArenas: 8
2017-01-27T13:53:04,582 | DEBUG | PooledByteBufAllocator | ioTasksDispatcher | -Dio.netty.allocator.numDirectArenas: 8
2017-01-27T13:53:04,582 | DEBUG | PooledByteBufAllocator | ioTasksDispatcher | -Dio.netty.allocator.pageSize: 8192
2017-01-27T13:53:04,582 | DEBUG | PooledByteBufAllocator | ioTasksDispatcher | -Dio.netty.allocator.maxOrder: 11
2017-01-27T13:53:04,582 | DEBUG | PooledByteBufAllocator | ioTasksDispatcher | -Dio.netty.allocator.chunkSize: 16777216
2017-01-27T13:53:04,582 | DEBUG | PooledByteBufAllocator | ioTasksDispatcher | -Dio.netty.allocator.tinyCacheSize: 512
2017-01-27T13:53:04,582 | DEBUG | PooledByteBufAllocator | ioTasksDispatcher | -Dio.netty.allocator.smallCacheSize: 256
2017-01-27T13:53:04,584 | DEBUG | PooledByteBufAllocator | ioTasksDispatcher | -Dio.netty.allocator.normalCacheSize: 64
2017-01-27T13:53:04,584 | DEBUG | PooledByteBufAllocator | ioTasksDispatcher | -Dio.netty.allocator.maxCachedBufferCapacity: 32768
2017-01-27T13:53:04,584 | DEBUG | PooledByteBufAllocator | ioTasksDispatcher | -Dio.netty.allocator.cacheTrimInterval: 8192
2017-01-27T13:53:04,591 | DEBUG | ByteBufUtil | ioTasksDispatcher | -Dio.netty.allocator.type: pooled
2017-01-27T13:53:04,592 | DEBUG | ByteBufUtil | ioTasksDispatcher | -Dio.netty.threadLocalDirectBufferSize: 65536
2017-01-27T13:53:04,592 | DEBUG | ByteBufUtil | ioTasksDispatcher | -Dio.netty.maxThreadLocalCharBufferSize: 16384
2017-01-27T13:53:04,642 | DEBUG | AbstractByteBuf | ioWorker#1 | -Dio.netty.buffer.bytebuf.checkAccessible: true
2017-01-27T13:53:04,645 | DEBUG | ResourceLeakDetectorFactory | ioWorker#1 | Loaded default ResourceLeakDetector: io.netty.util.ResourceLeakDetector@52b8a536
2017-01-27T13:53:04,656 | DEBUG | JavassistTypeParameterMatcherGenerator | ioWorker#1 | Generated: io.netty.util.internal.__matchers__.io.netty.handler.codec.http.HttpObjectMatcher
2017-01-27T13:53:04,659 | DEBUG | JavassistTypeParameterMatcherGenerator | ioWorker#1 | Generated: io.netty.util.internal.__matchers__.java.net.InetSocketAddressMatcher
2017-01-27T13:53:04,680 | DEBUG | Recycler | ioTasksDispatcher | -Dio.netty.recycler.maxCapacityPerThread: 32768
2017-01-27T13:53:04,680 | DEBUG | Recycler | ioTasksDispatcher | -Dio.netty.recycler.maxSharedCapacityFactor: 2
2017-01-27T13:53:04,680 | DEBUG | Recycler | ioTasksDispatcher | -Dio.netty.recycler.linkCapacity: 16
2017-01-27T13:53:04,681 | DEBUG | Recycler | ioTasksDispatcher | -Dio.netty.recycler.ratio: 8
