DateTimeISO8601,TypeLoad,Concurrency,DriverCount,CountSucc,CountFail,Size,JobDuration[s],DurationSum[s],TPAvg[op/s],TPLast[op/s],BWAvg[MB/s],BWLast[MB/s],DurationAvg[us],DurationMin[us],DurationLoQ[us],DurationMed[us],DurationHiQ[us],DurationMax[us],LatencyAvg[us],LatencyMin[us],LatencyLoQ[us],LatencyMed[us],LatencyHiQ[us],LatencyMax[us]
"2017-01-27T13:53:04,486",READ,1,1,0,0,0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0
"2017-01-27T13:53:14,482",READ,1,1,19060,0,19985858560,10.006,8.65792,1904.8570857485508,1429.828018952951,1.9973874235458724E9,1.4992833448016095E9,447.19844357976655,336,368,387,421,16807,447.19844357976655,27,42,47,64,5158
"2017-01-27T13:53:24,482",READ,1,1,42581,0,44649414656,20.006,17.660687,2128.411476557033,2018.1473705402827,2.2318011924422674E9,2.1161808972116475E9,407.1546692607004,343,360,376,401,9203,407.1546692607004,27,41,44,59,312
"2017-01-27T13:53:34,483",READ,1,1,66695,0,69934776320,30.008,26.736826,2222.5739802719277,2268.050098302621,2.330537733937617E9,2.378222899877769E9,399.2071984435798,340,357,371,396,9203,399.2071984435798,29,40,43,57,312
"2017-01-27T13:53:44,487",READ,1,1,90823,0,95234818048,40.009,35.814689,2270.0642355470018,2359.574469625455,2.380334875852933E9,2.474193159061981E9,396.4640077821012,340,356,370,394,9203,396.4640077821012,25,40,43,57,312
"2017-01-27T13:53:54,485",READ,1,1,114972,0,120556879872,50.01,44.906051,2298.980203959208,2394.0281394907424,2.4106554663467307E9,2.5103204503946447E9,391.95622568093387,340,355,369,393,9203,391.95622568093387,25,40,43,57,312
