2017-01-31T12:20:33,952 | DEBUG | InternalLoggerFactory | main | Using java.util.logging as the default logging framework
2017-01-31T12:20:33,955 | DEBUG | MultithreadEventLoopGroup | main | -Dio.netty.eventLoopThreads: 8
2017-01-31T12:20:34,036 | DEBUG | PlatformDependent0 | main | java.nio.Buffer.address: available
2017-01-31T12:20:34,037 | DEBUG | PlatformDependent0 | main | sun.misc.Unsafe.theUnsafe: available
2017-01-31T12:20:34,037 | DEBUG | PlatformDependent0 | main | sun.misc.Unsafe.copyMemory: available
2017-01-31T12:20:34,037 | DEBUG | PlatformDependent0 | main | direct buffer constructor: available
2017-01-31T12:20:34,041 | DEBUG | PlatformDependent0 | main | java.nio.Bits.unaligned: available, true
2017-01-31T12:20:34,041 | DEBUG | PlatformDependent0 | main | java.nio.DirectByteBuffer.<init>(long, int): available
2017-01-31T12:20:34,045 | DEBUG | Cleaner0 | main | java.nio.ByteBuffer.cleaner(): available
2017-01-31T12:20:34,046 | DEBUG | PlatformDependent | main | Java version: 8
2017-01-31T12:20:34,046 | DEBUG | PlatformDependent | main | -Dio.netty.noUnsafe: false
2017-01-31T12:20:34,046 | DEBUG | PlatformDependent | main | sun.misc.Unsafe: available
2017-01-31T12:20:34,046 | DEBUG | PlatformDependent | main | -Dio.netty.noJavassist: false
2017-01-31T12:20:34,121 | DEBUG | PlatformDependent | main | Javassist: available
2017-01-31T12:20:34,121 | DEBUG | PlatformDependent | main | -Dio.netty.tmpdir: /tmp (java.io.tmpdir)
2017-01-31T12:20:34,123 | DEBUG | PlatformDependent | main | -Dio.netty.bitMode: 64 (sun.arch.data.model)
2017-01-31T12:20:34,123 | DEBUG | PlatformDependent | main | -Dio.netty.noPreferDirect: false
2017-01-31T12:20:34,123 | DEBUG | PlatformDependent | main | io.netty.maxDirectMemory: 3728736256 bytes
2017-01-31T12:20:34,142 | DEBUG | PlatformDependent | main | org.jctools-core.MpscChunkedArrayQueue: available
2017-01-31T12:20:34,150 | DEBUG | NativeLibraryLoader | main | -Dio.netty.tmpdir: /tmp (java.io.tmpdir)
2017-01-31T12:20:34,150 | DEBUG | NativeLibraryLoader | main | -Dio.netty.native.workdir: /tmp (io.netty.tmpdir)
2017-01-31T12:20:34,168 | DEBUG | NetUtil | main | -Djava.net.preferIPv4Stack: false
2017-01-31T12:20:34,168 | DEBUG | NetUtil | main | -Djava.net.preferIPv6Addresses: false
2017-01-31T12:20:34,170 | DEBUG | NetUtil | main | Loopback interface: lo (lo, 0:0:0:0:0:0:0:1%lo)
2017-01-31T12:20:34,171 | DEBUG | NetUtil | main | /proc/sys/net/core/somaxconn: 128
2017-01-31T12:20:34,195 | DEBUG | DefaultChannelId | main | -Dio.netty.processId: 26866 (auto-detected)
2017-01-31T12:20:34,197 | DEBUG | DefaultChannelId | main | -Dio.netty.machineId: 40:2c:f4:ff:fe:e9:16:17 (auto-detected)
2017-01-31T12:20:34,198 | DEBUG | ThreadLocalRandom | main | -Dio.netty.initialSeedUniquifier: 0x6f6367a6ce56b690
2017-01-31T12:20:34,211 | DEBUG | ResourceLeakDetector | main | -Dio.netty.leakDetection.level: simple
2017-01-31T12:20:34,211 | DEBUG | ResourceLeakDetector | main | -Dio.netty.leakDetection.maxRecords: 4
2017-01-31T12:20:34,234 | DEBUG | PooledByteBufAllocator | main | -Dio.netty.allocator.numHeapArenas: 8
2017-01-31T12:20:34,234 | DEBUG | PooledByteBufAllocator | main | -Dio.netty.allocator.numDirectArenas: 8
2017-01-31T12:20:34,234 | DEBUG | PooledByteBufAllocator | main | -Dio.netty.allocator.pageSize: 8192
2017-01-31T12:20:34,234 | DEBUG | PooledByteBufAllocator | main | -Dio.netty.allocator.maxOrder: 11
2017-01-31T12:20:34,234 | DEBUG | PooledByteBufAllocator | main | -Dio.netty.allocator.chunkSize: 16777216
2017-01-31T12:20:34,234 | DEBUG | PooledByteBufAllocator | main | -Dio.netty.allocator.tinyCacheSize: 512
2017-01-31T12:20:34,235 | DEBUG | PooledByteBufAllocator | main | -Dio.netty.allocator.smallCacheSize: 256
2017-01-31T12:20:34,235 | DEBUG | PooledByteBufAllocator | main | -Dio.netty.allocator.normalCacheSize: 64
2017-01-31T12:20:34,235 | DEBUG | PooledByteBufAllocator | main | -Dio.netty.allocator.maxCachedBufferCapacity: 32768
2017-01-31T12:20:34,235 | DEBUG | PooledByteBufAllocator | main | -Dio.netty.allocator.cacheTrimInterval: 8192
2017-01-31T12:20:34,245 | DEBUG | ByteBufUtil | main | -Dio.netty.allocator.type: pooled
2017-01-31T12:20:34,245 | DEBUG | ByteBufUtil | main | -Dio.netty.threadLocalDirectBufferSize: 65536
2017-01-31T12:20:34,245 | DEBUG | ByteBufUtil | main | -Dio.netty.maxThreadLocalCharBufferSize: 16384
